,match_id,runs_after_10_overs,wickets_left,final_score
675,1178417,84,6,202
676,1178418,49,7,175
677,1178419,84,9,155
678,1178420,86,9,160
679,1178421,88,9,187
680,1178422,97,9,232
681,1178423,103,9,212
682,1178425,53,9,179
683,1178426,76,9,162
684,1178427,84,8,183
685,1178428,55,6,115
686,1178429,71,7,175
687,1178430,79,9,170
688,1178431,61,8,133
689,1181764,50,7,131
690,1181766,71,8,162
691,1181767,68,7,147
692,1181768,70,8,149
693,1216492,86,8,162
694,1216493,49,7,157
695,1216534,86,10,163
696,1216496,119,9,216
697,1216508,94,9,195
698,1216510,90,9,206
699,1216539,88,10,175
700,1216545,61,8,142
701,1216527,110,10,223
702,1216547,85,9,201
703,1216532,82,9,162
704,1216504,82,8,174
705,1216503,62,8,191
706,1216516,63,8,164
707,1216514,70,7,154
708,1216515,89,9,228
709,1216513,71,9,178
710,1216538,90,8,208
711,1216519,85,8,196
712,1216511,90,7,193
713,1216501,93,8,167
714,1216542,100,10,201
715,1216500,87,6,184
716,1216523,60,8,164
717,1216525,65,9,169
718,1216507,63,9,158
719,1216529,80,8,162
720,1216540,78,9,194
721,1216528,69,8,167
722,1216543,79,8,161
723,1216531,83,8,171
724,1216526,57,6,148
725,1216509,71,9,179
726,1216522,80,7,177
727,1216512,77,9,163
728,1216517,70,7,176
729,1216533,56,6,125
730,1216546,83,8,164
731,1216494,36,5,84
732,1216518,74,9,154
733,1216521,52,3,114
734,1216497,75,7,194
735,1216498,66,8,126
736,1216541,89,9,195
737,1216544,72,8,145
738,1216520,92,6,149
739,1216524,113,9,219
740,1216499,88,9,164
741,1216536,70,8,172
742,1216537,81,9,185
743,1216502,61,8,120
744,1216535,49,8,110
745,1216506,65,8,153
746,1216530,84,7,191
747,1216505,60,9,152
748,1216495,78,8,149
749,1237177,93,8,200
750,1237178,54,8,131
751,1237180,102,9,189
752,1237181,75,7,156
753,1254058,86,9,159
754,1254059,71,7,188
755,1254060,83,9,187
756,1254061,89,8,221
757,1254062,81,9,152
758,1254063,63,8,149
759,1254064,57,6,147
760,1254065,48,5,106
761,1254066,75,8,150
762,1254067,84,8,204
763,1254068,94,10,195
764,1254069,82,7,188
765,1254070,78,6,137
766,1254072,82,10,220
767,1254073,70,6,177
768,1254074,49,8,131
